dos_ID,tcST,tcET,fcST,fcET,scST,scET,abST,AVGwin,dDE,K_PC2,K_PC4,K_PC5,K_PC6,A_PC2,A_PC4,A_PC5,A_PC6,B_PC2,B_PC4,B_PC5,B_PC6,C_PC2,C_PC4,C_PC5,C_PC6,VB_PC2,VB_PC4,VB_PC5,VB_PC6,VBA_PC2,VBA_PC4,VBA_PC5,VBA_PC6,S_PC2,S_PC4,S_PC5,S_PC6,SAF_PC2,SAF_PC4,SAF_PC5,SAF_PC6,BRad,BRAF_PC2,BRAF_PC4,BRAF_PC5,BRAF_PC6,CDF_PC2,CDF_PC4,CDF_PC5,CDF_PC6,SSwin,MRD
VA000004144,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 22:58,5,3000,67.56594486,123.8921499,127.9152868,104.3175723,-568.6011391,10.9963765,24.96496515,21.56751162,-81525.62341,5502.553022,5045.247226,4990.344058,267676.001,275345.7897,271623.0429,273798.5045,500,500,500,500,10,10,10,10,0.091625555,0.092813964,0.096418983,0.091381971,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000004227,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:18,5,3000,79.71348622,115.9507966,117.6578851,121.6186749,-142698283.6,16.17422266,65.72580043,59.11555977,-0.428470816,5118.380435,4440.404575,4479.292674,1688729.525,271738.4434,273733.323,269844.9552,500,500,500,500,10,10,10,10,0.093378741,0.093742218,0.091708971,0.091259179,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000004623,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:15,5,3000,84.52929054,125.6063281,146.7369702,124.0305738,0.159466241,17.68267693,72.1141874,61.84329866,-63226.52926,5166.473727,4525.758558,4530.221543,262956.2461,271292.6889,268953.3623,272954.1436,500,500,500,500,10,10,10,10,0.093021664,0.09712439,0.093727995,0.090455524,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000464Z,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:10,5,3000,82.20432774,146.0492794,124.131329,119.8325611,-210106367,24.14136934,34.48380072,28.2395847,-0.318891199,5130.710648,4849.984099,4928.674233,2364818.085,275281.0663,275160.7165,274790.0894,500,500,500,500,10,10,10,10,0.094375128,0.094152999,0.097705444,0.088305693,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000486T,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 22:52,5,3000,87.56291895,126.8918888,146.9148124,136.442481,-544.3200332,15.87958413,68.7725808,52.40953059,-79705.58658,5216.526258,4567.067592,4650.696819,256439.5684,265454.9871,266431.3567,266325.0734,500,500,500,500,10,10,10,10,0.095832101,0.092085253,0.094403063,0.091630871,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000493Y,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:02,5,3000,94.42605172,120.4221302,125.3382931,144.0920844,4.258266342,29.91498888,65.05367133,78.33371087,5534.631281,4842.252572,4445.450138,4450.41014,252524.6332,266833.29,263995.5986,263835.4906,500,500,500,500,10,10,10,10,0.097862358,0.089559664,0.091739782,0.091078862,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA00000525Z,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:27,5,3000,86.84330746,126.9341671,147.4671843,145.7002604,5.681445308,18.22216381,54.00367622,83.65572347,5422.974524,5164.280624,4626.359294,4435.767881,261486.8349,271814.0104,264167.7821,270370.5068,500,500,500,500,10,10,10,10,0.096471194,0.09231501,0.099043942,0.091725929,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000005316,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:33,5,3000,82.73985507,134.8335988,121.9812494,105.5050228,3.484863018,44.29390997,56.57174853,15.02673913,5726.567528,4787.787824,4552.365207,5171.775438,263860.2412,277127.7949,272733.8031,279257.532,500,500,500,500,10,10,10,10,0.097220216,0.093684954,0.094321927,0.086457937,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000005407,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:21,5,3000,82.35777297,132.5476762,130.1782436,147.5715448,-435.6238464,10.87851758,51.34561968,60.95564411,-59582.56126,5387.679532,4614.688739,4604.623408,260190.436,262989.4633,268481.5047,265232.425,500,500,500,500,10,10,10,10,0.092242567,0.097496599,0.091309654,0.092810493,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
VA000005423,3/5/2017 0:00,3/17/2017 0:00,3/5/2017 0:00,4/25/2017 20:00,7/28/2017 18:00,7/28/2017 20:00,2/27/2017 23:13,5,3000,77.77125249,136.5179095,135.6694821,132.4147901,-202.7843889,14.58866364,39.39291131,37.28472235,-14629.90077,5361.764731,4833.056572,4833.284169,264437.3426,271674.6231,271312.4907,270007.0955,500,500,500,500,10,10,10,10,0.093613867,0.096151133,0.097622781,0.092626226,-1,-1,-1,-1,0,1,1,1,1,100,100,100,100,5,20
